School,District,Division1,Pupils,
Tuban P/S,Kapchorwa,6,100,
Tegeress Primary School,Kapchorwa,10,209,
Kapchorwa Primary School,Kapchorwa,17,173,
Testimony Christian P/S,Kapchorwa,14,95,
Kapchorwa Mountain School,Kapchorwa,1,51,
Kapchorwa Modern Boarding P/S,Kapchorwa,13,39,
Kapchesombe P/S,Kapchorwa,1,65,
Kyanguzi P/S,Kasese,2,60,
Kyanguki P/S,Kasese,2,60,
Kisinga Sda primary School,Kasese,1,35,
Mpondwe Primary School,Kasese,2,58,
Izinga Sda Primary school,Kasese,1,34,
Bwayale Primary School,Kasese,2,58,
Kampisi Sda Primary School,Kasese,4,115,
Kyaminyawandi Ps,Kasese,2,57,
Kabatunda P.7 School,Kasese,5,140,
Kyabayenze P7 Sch,Kasese,2,65,
Kitabona Ps,Kasese,1,28,
Omodoi Primary School,Kasese,1,28,
Kanyangwanji Primary School,Kasese,1,26,
Bughendero Primary School,Kasese,2,54,
Buhandiro Primary School,Kasese,1,25,
Kisinga Primary School,Kasese,3,95,
St.Immaculate katooke,Kasese,2,63,
Kitalibi P.7 School,Kasese,1,26,
Kihambayiro Ps,Kasese,1,31,
St.Comboni Primary School,Kasese,1,31,
Kitswamba Primary School,Kasese,2,62,
Nyakahya c/U Primary School,Kasese,3,92,
Kanyampara Sda Primary School,Kasese,4,97,
St.Matia Maulumba P/S,Kasese,3,26,
Ibunda Primary School,Kasese,1,24,
Mulongoti  P/S,Kasese,4,91,
Nyakasaga P/S,Kasese,2,45,
Kacungiro Ps,Kasese,1,94,
Rusese Primary School,Kasese,8,66,
Kohokya Primary School,Kasese,3,64,
Kinyamaseke Ps,Kasese,4,85,
Kirembe P/S,Kasese,1,21,
Bwera Demonstration Primary,Kasese,2,42,
Kyogha Primary School,Kasese,2,42,
Kanyabusogha Primary School,Kasese,1,17,
Ongatunyo Primary School,Kasese,2,34,
Kichwamba Sda Primary School,Kasese,4,65,
Kasese Junior Sch,Kasese,5,80,
Kasese Sda P/S,Kasese,10,72,
Kyarumba Ps,Kasese,4,64,
Kirabaho Moslem Primary School,Kasese,1,16,
Nkaiga Primary School,Kasese,2,40,
Katooke Ps,Kasese,2,31,
Kiruli Primary School ,Kasese,4,61,
Kajwenge Primary School,Kasese,8,121,
Kyamize Primary School,Kasese,1,15,
Mbunga P.7 School,Kasese,1,19,
St Kizito Kyabarungira P/S,Kasese,2,38,
Kilembe Junior Boarding,Kasese,6,112,
Katiri P/S,Kasese,3,44,
St.John Paul Bunyiswa P/S,Kasese,3,55,
Katojo P.7 Sch,Kasese,1,18,
J.B Model Ps,Kasese,2,21,
Kinyaminagha Primary School,Kasese,2,36,
Akisim-Toroma Primary School,Kasese,1,18,
St.John Baliba School,Kasese,3,54,
Busunga Primary School,Kasese,2,35,
Rukoni Model Primary School,Kasese,4,84,
Kabusongora Primary School,Kasese,3,30,
Katwe Quran Primary School,Kasese,3,41,
Mubuku Primary School,Kasese,4,52,
Kabingo Ps,Kasese,2,19,
Kabei P/Sch,Kasese,6,75,
Hima Public Primary School,Kasese,4,49,
Bulembia P/S,Kasese,5,61,
Sabwe Irrigation Primary School,Kasese,13,82,
Kunyu P.7 Sch,Kasese,8,50,
St.Peters P/S,Kasese,7,43,
Alhasan Education P/S,Kasese,3,18,
Mbyaka Foundation P/S,Kasese,6,35,
Road Barrier Primary School,Kasese,1,54,
Road Barrier Primary School,Kasese,1,54,
Road Barrier Primary School,Kasese,1,54,
Road Barrier Primary School,Kasese,1,54,
Hima Primary School,Kasese,14,52,
Infant Preparatory Primary School,Kasese,9,32,
St. john's Bukangara Ps,Kasese,1,53,
Muramba Valley Ps,Kasese,1,52,
Buhaghura Primary School,Kasese,1,51,
Brudo Model Sch,Kasese,8,26,
Railway P/S,Kasese,12,88,
St. Andrew's Ps,Kasese,1,50,
God Pays P/S,Kasese,5,15,
Rwezori Millenium P/S,Kasese,7,21,
Mother Care P/S,Kasese,27,80,
Rock P/S,Kasese,12,35,
Kiruli Sda Primary School,Kasese,1,49,
Ntunga Primary School,Kasese,1,49,
St.Augustine's Kitabu P/S,Kasese,1,48,
Nyamwamba P/S,Kasese,12,62,
Mubuku Primary School,Kasese,2,95,
Bisyoro Ps,Kasese,7,19,
Bwera C/U Primary School,Kasese,1,47,
Equator Model P/S,Kasese,10,25,
Ruboni P/S,Kasese,12,61,
Nyakabale Primary School,Kasese,1,46,
Nyakabale Primary School,Kasese,1,46,
Ndongo baptist P/S,Kasese,21,50,
Namhuga P/S,Kasese,10,23,
St.Joseph Primary School,Kasese,18,39,
kanyangera P/S,Kasese,1,44,
Kyabolokya P/S,Kasese,1,44,
St. Joseph Musyenene Ps,Kasese,1,44,
Katunguru Primary School,Kasese,13,26,
Bigyera Junior Sch,Kasese,13,25,
Kapsiywo P/Sch,Kasese,2,87,
Kaliki Kaliki Primary School,Kasese,5,21,
Kamaiba P/S,Kasese,22,90,
Ibanda Ps,Kasese,1,43,
Bugoye Ps,Kasese,1,42,
Kasokero Primary School,Kasese,1,42,
Kasokero Primary School,Kasese,1,42,
Kanamba Ps,Kasese,1,41,
Kyondo Primary School,Kasese,1,41,
Kasebere Primary School,Kasese,1,40,
Kanyatsi Primary School,Kasese,1,40,
Kanyatsi Primary School,Kasese,1,40,
Kasojo Prep School,Hima,Kasese,24,29.9979
Kasambya Primary School,Kasese,1,63,
Nyakazinga Primary School,Kasese,1,39,
St.Paul Ps,Kasese,46,60,
Unique Valley Primary School,Kasese,78,101,
Nyabirongo Primary School,Kasese,1,60,
Model P/S,Kasese,36,46,
Kiyonga Primary School,Kasese,1,38,
Five Star Model School,Kasese,18,21,
St Peters Kibalya Ps,Kasese,1,37,
Nyakasanga Infant Primary School,Kasese,26,27,
Parental Care School,Kasese,63,65,
Magherita Primary School,Kasese,68,70,
Opeta Lake View Primary School,Katakwi,1,27,
Okuda Primary School,Katakwi,2,52,
Apuuton Primary School,Katakwi,11,98,
Kokorio Primary School,Katakwi,3,91,
Katakwi Primary School,Katakwi,20,157,
Katakwi Township P/S,Katakwi,1,45,
Usuk Boys Primary School,Katakwi,1,43,
Okolimo Primary School,Katakwi,1,42,
Akoboi Primary School,Katakwi,1,62,
Bishop Brown Primary School,Kayunga,2,69,
Kimooli Umea Primary School,Kayunga,5,169,
Mugema Primary School,Kayunga,3,83,
Kamuli Umea Primary School,Kayunga,1,148,
Bbaale Pri Sch,Kayunga,3,67,
Buwungiro Primary School,Kayunga,1,22,
Ssezibwa C/U Primary School,Kayunga,2,44,
Kangulumira R/S Primary School,Kayunga,27,218,
Kayunga Girls Primary School,Kayunga,6,47,
Kitiwa Light P/Sch,Kayunga,2,42,
Nyiize C/U Primary School,Kayunga,11,79,
Nsotoka Islamic Pri. School,Kayunga,4,44,
Nakatooke R/U Primary School,Kayunga,9,62,
Nazigo R/C Primary School,Kayunga,4,48,
Bukeeka Primary School,Kayunga,21,127,
Kangulumira C/U Primary School,Kayunga,15,90,
Wabwoko C/U P/Sch,Kayunga,1,51,
Sekagya Isamic School,Kayunga,14,46,
Wabwoko C/U P/Sch,Kayunga,1,51,
Catherine Primary School,Kayunga,8,24,
Ndeeba C/U Primary School,Kayunga,1,45,
kikonyogo PS,Kayunga,1,42,
Tente C/U PS,Kayunga,1,42,
Kangulumira Umea Primary School,Kayunga,1,41,
Nyiize R/C Primary School,Kayunga,1,69,
Nakyesa Boarding P/Sch ,Kayunga,1,40,
Natteta C/U Primary School,Kayunga,1,67,
Bwetyaba Primary School,Kayunga,1,39,
Kikwanya Primary School,Kayunga,2,78,
Musiitwa Umea Primary School,Kayunga,3,113,
Kisaalizi/Nbinambo Primary School,Kibaale,2,72,
Kyoembe S.D.A  P/S,Kibaale,1,32,
Mpeefu Primary School,Kibaale,3,77,
Kibedi Primary School,Kibaale,1,32,
Kiriika Primary School,Kibaale,1,25,
Buramagi Primary School,Kibaale,13,116,
Muhorro Primary School,Kibaale,1,141,
Bujuni Boys Primary School,Kibaale,8,69,
Muhorro BC.S Ps,Kibaale,1,96,
Igayaza Primary School,Kibaale,1,95,
St.Andrew Kaahwa P/S,kooki,Kibaale,3,30.8723
St.Andrew Kaahwa P/S,kooki,Kibaale,3,30.8723
St.Andrew Kaahwa P/S,kooki,Kibaale,3,30.8723
St.Andrew Kaahwa P/S,kooki,Kibaale,3,30.8723
St.Andrew Kaahwa P/S,kooki,Kibaale,3,30.8723
Nyaburungi Primary School,Kibaale,1,22,
Lubiri Ps,Kibaale,1,80,
St. Charles Lwanga Primary School,Kibaale,7,55,
Kasojo Ps,Kibaale,5,81,
kiriisa Ps,Kibaale,3,22,
Kitoma Primary School,Kibaale,3,63,
Kisojo Primary School,Kibaale,3,46,
Kyaterekera P S,Kibaale,3,59,
Mpasaana Primary School,Kibaale,6,90,
U.R.D.T Girls Primary School,Kibaale,4,44,
Kakindo C/U Primary School,Kibaale,3,32,
Kikangara Primary School,Kibaale,11,115,
Damasiko Primary School,Kibaale,7,98,
Kihuuna Parents Primary School,Kibaale,4,28,
Bugonda Primary School,Kibaale,2,27,
Kitengeto Primary School,Kibaale,2,27,
Kyeicumu P/Sch,Kibaale,7,69,
Nyamurunda Primary School,Kibaale,4,53,
Kakindo Primary School,Kibaale,6,73,
Rubirizi Ps ,Kibaale,1,54,
St.Julie Model Primary School,Kibaale,7,26,
Nyakafunjo Primary School,Kibaale,3,160,
Kibaale Primary School,Kibaale,1,52,
Nalweyo Primary School,Kibaale,23,74,
St.Joseph Igayaza P/S,Kibaale,1,50,
St.Olivia Primary School,Kibaale,10,27,
Excel Model Primary School,Kibaale,13,34,
St.Gregory Kasenyi P/S,Kibaale,3,15,
Uganda Martyrs P/S,Bwanswa,Kibaale,12,30.8723
Kahyoro Primary School,Kibaale,1,43,
Mother Care P/S,Kagadi,Kibaale,22,30.8723
Yeruzalemu Primary School,Kibaale,1,79,
Kyabitundu Primary School,Kibaale,1,78,
Kyabitundu Primary School,Kibaale,1,78,
Ruswiga P S,Kibaale,1,41,
Muzizi Tea Estate Primary School,Kibaale,1,71,
Rwabaranga P/S,Kibaale,1,70,
Kyamujundo Primary School,Kibaale,1,40,
Rwembuba Primary School,Kibaale,1,64,
KabasekendeprimAry School,Kibaale,1,39,
KabasekendeprimAry School,Kibaale,1,39,
KabasekendeprimAry School,Kibaale,1,39,
Kasimbi Primary School,Kibaale,1,59,
Kinunda Primary School,Kibaale,1,38,
Nyarurambi Primary School,Kibaale,1,38,
Buhumba Primary School,Kibaale,1,37,
St.Mary's P/S Karuguuza,Kibaale,37,40,
Kitagenda Memorial School,Kiboga,3,87,
Lutti Primary School,Kiboga,1,28,
Kirangira St.Mary Pri.School,Kiboga,1,27,
Katwe Primary School,Kiboga,2,54,
Nyamiringa Primary School,Kiboga,2,61,
Nymiringa Primary School,Kiboga,2,61,
St.Andrew Kaggwa & Daniel P/S,Kiboga,3,22,
Lunnya Primary School,Kiboga,2,40,
Kiboga Islamic Primary School,Kiboga,2,31,
kibisi Primary School,Kiboga,3,33,
Nabwendo Primary School,Kiboga,3,54,
Kalungu Primary School,Kiboga,2,21,
Kawawa Primary School,Kiboga,3,42,
Kalagala Primary School,Kiboga,2,27,
Kyamutwe Pr.School,Kiboga,4,54,
Kambugu Primary School,Kiboga,5,46,
Young Crane Ps,Kiboga,8,29,
Bukomero Primary School,Kiboga,1,52,
Gogonya Primary School,Kiboga,11,30,
Nakasengere Primary School,Kiboga,1,47,
Kiboga D A S Primary School,Kiboga,32,86,
Kyamukoola Primary School,Kiboga,1,47,
Nyaburunga P/S,Kiboga,7,33,
Kaasons Primary School,Kiboga,1,44,
Kirinda Primary School,Kiboga,1,72,
Bukoboobo Primary School,Kiboga,1,63,
Muteesa 11 Memorial P.7 School,Kiboga,1,62,
KagogoPrimary School,Kiboga,1,60,
Nabulanganga Primary School,Kibuku,2,66,
Kakunyuyu Primary School,Kibuku,5,121,
Nabuli Primary School,Kibuku,1,124,
Kaguma Primary  School,Kibuku,4,89,
Nambiri Primary School,Kibuku,5,78,
Goli-Goli Primary School,Kibuku,8,76,
Kyama Primary School,Kibuku,2,96,
Yesu Afaayo Jubilee Mem.P/S,Kibuku,15,36,
Kakutu Primary School,Kibuku,1,76,
Pulaka Primary School,Kibuku,2,119,
Fundamental Primary School,Kibuku,50,59,
Kyabwayera Primary School,Kiruhura,1,28,
Rwershande Primary School,Kiruhura,1,31,
Orwigi Primary School,Kiruhura,3,72,
Kabuserwere PS,Kiruhura,3,26,
Otebe Primary School,Kiruhura,1,80,
Sya Brightn Future P/S,Kiruhura,3,24,
Kyamarebe P/S,Kiruhura,1,21,
Kyamarebe P/S,Kiruhura,1,21,
Kyamarebe P/S,Kiruhura,1,21,
Kijuma Ps,Kiruhura,15,115,
Huguuka Primary School,Kiruhura,4,30,
Rwomugina Parants Pri School,Kiruhura,4,30,
Kyabahuura 11 Primary School,Kiruhura,3,48,
Buremba Primary School,Kiruhura,7,110,
Nshwere Ps,Kiruhura,1,15,
Rweminago Ps,Kiruhura,1,15,
Ogaritsyaprimary School ,Kiruhura,5,56,
Rwobusiisi Ps,Kiruhura,1,15,
Naama Primary School,Kiruhura,1,19,
Kanyabihara Ps,Kiruhura,2,29,
Akatenga Primary School,Kiruhura,1,18,
Rwemamba li Ps,Kiruhura,6,61,
Kashwa P/S,Kiruhura,6,42,
Rwamuranda Primary School,Kiruhura,2,27,
Kyeibuza Primary School,Kiruhura,9,59,
Migina Primary School,Kiruhura,12,117,
St Marys P/S Rushere,Kiruhura,6,58,
Nkungu Primary School,Kiruhura,16,154,
Ngombe Primary School,Kiruhura,2,25,
Kyeibuza Primary School,Kiruhura,9,59,
Kamuganja Primary School,Kiruhura,2,25,
Kitongore Progressive P/S,Kiruhura,2,19,
Kaku Primary School,Kiruhura,3,28,
Jollan Primary School,Kiruhura,5,32,
Rwanyangwe Ps,Kiruhura,13,82,
Kaltanturegye Ps,Kiruhura,9,56,
Mbuga Ps,Kiruhura,3,27,
Kinonili Mixed Ps,Kiruhura,3,35,
Mbaba P.7 Sch,Kiruhura,1,39,
kitongore Primary School,Kiruhura,1,38,
Kanyaryeru Primary School,Kiruhura,3,34,
Kanyaanya Primary School,Kiruhura,5,29,
Kagaramira Primary School,Kiruhura,55,109,
Sanga Parents School,Kiruhura,28,79,
Kashongi Junior Sch,Kiruhura,15,47,
Kyeitaagi Ps,Kiruhura,5,16,
Burunga Primary School,Kiruhura,25,140,
St Pauls Rwemikoma P/S,Kiruhura,3,16,
Kashongil P7 Sch,Kiruhura,22,74,
Kalwala Primary School,Kiryandongo,4,110,
Yelekeni Primary School,Kiryandongo,1,33,
Mutunda,Kiryandongo,3,78,
Tecwaa Primary School,Kiryandongo,1,28,
Katulikire Primary School,Kiryandongo,2,53,
Kiryadongo C/U Primary School,Kiryandongo,1,99,
Nyinga Primary School,Kiryandongo,11,91,
Bweyale Primary  School,Kiryandongo,5,112,
Bidong Primary School,Kiryandongo,3,63,
Gwara,Kiryandongo,2,41,
Yabwengi,Kiryandongo,2,40,
Nyama Primary School,Kiryandongo,1,20,
Kigumba C/U Primary School,Kiryandongo,15,107,
Panyadoli Primary School,Kiryandongo,4,79,
Kikuube P/S Kiryandongo,Kiryandongo,2,22,
Kifuruta Primary School,Kiryandongo,1,19,
Kihura Primary School,Kiryandongo,7,126,
Kakwokwo,Kiryandongo,7,67,
Comboni Parents,Kiryandongo,4,50,
Nyakibete Primary School,Kiryandongo,1,42,
Nyakataama C/U Primary School,Kiryandongo,1,55,
Masindi Port Parents,Kiryandongo,19,40,
Nanda,Kiryandongo,1,51,
St LivingStone,Kisoro,1,30,
Mutolere P/Sch,Kisoro,2,59,
Mukimbugu,Kisoro,1,26,
Kamfizi,Kisoro,2,52,
Muramba,Kisoro,14,112,
Muramba,Kisoro,14,112,
Muramba,Kisoro,14,112,
Kagezi Primary School,Kisoro,1,84,
Kagano Primary School,Kisoro,1,84,
Gitenderi Primary School,Kisoro,3,51,
Kaboko,Kisoro,2,34,
Sooko,Kisoro,3,49,
Mbuga,Kisoro,1,16,
Gisorora P/Sch,Kisoro,4,78,
Kabami C/U Primary School,Kisoro,3,33,
Bweyale Modern,Kisoro,2,22,
Bweyale Modern,Kisoro,2,22,
Star Education Centre,Kisoro,8,117,
Matinza P/Sch,Kisoro,6,108,
Mubuga,Kisoro,10,63,
Rwabara P/Sch,Kisoro,7,42,
Karago P/Sch,Kisoro,9,51,
Kabindi Mixed Primary School,Kisoro,2,107,
Gatete Primary Sch,Kisoro,1,53,
Gasovu Primary School,Kisoro,1,52,
Kisoro Parents Junior School,Kisoro,15,45,
Gisozi Sda Primary School,Kisoro,1,47,
Rwaramba,Kisoro,1,47,
Bweyale,Kisoro,2,92,
Seseme Primary School,Kisoro,20,97,
kisekye Primary School,Kisoro,1,45,
Rwingwe Primary School,Kisoro,19,40,
Real Quality Primary School,Kisoro,29,59,
Bweyale Public ,Kisoro,1,43,
St.Allens Primary School,Kisoro,21,37,
St.George P/S,Mutolere,Kisoro,26,29.6985
Mabungo Primary School,Kisoro,1,60,
Shalom Foundation Primary School,Kisoro,19,24,
Rubagamirambiro Primary School,Kisoro,1,58,
Chuho P/Sch,Kisoro,1,57,
Kigumba Intensive,Kisoro,52,56,
Lagot Cugu Primary School,Kitgum,3,78,
Putuke Primary School,Kitgum,1,26,
Muchwini Primary School,Kitgum,2,44,
Uganda Martyrs Primary School,Kitgum,6,44,
Kitgum Boys Primary School,Kitgum,9,95,
Namokora Primary School,Kitgum,2,35,
Childcare Amida Primary School,Kitgum,4,52,
Odungulee Primary School,Kitgum,2,25,
Ojuma Primary School,Kitgum,8,47,
Gweng Pamon  Primary School,Kitgum,1,55,
Kitgum Primary School,Kitgum,13,75,
Global  View Preparatory X-Tian Academy,Kitgum,6,17,
Lajok Ogayo Primary School,Kitgum,1,54,
Kitgum Public Primary School,Kitgum,19,70,
Kitgum Dem.Primary School,Kitgum,10,34,
St.Janani Luwum Primary School,Kitgum,7,22,
Kwarayo Okuti P S,Kitgum,1,49,
Guilo Primary School,Kitgum,5,27,
Kitgum Padwong Primary School,Kitgum,26,72,
Kitgum Prison Primary School,Kitgum,8,41,
Kitgum Girls Primary School,Kitgum,1,46,
Chil Care P/S,Kitgum,16,80,
Lumule Primary School,Kitgum,1,76,
Kitgum Matidi Primary School,Kitgum,1,70,
Bola P S,Kitgum,1,40,
Ayoma Primary School,Kitgum,1,64,
 Pajimo Army Primary School,Kitgum,1,39,
Horizon Primary School,Kitgum,20,26,
St.Paul Kitgum Italy P/S,Kitgum,21,23,
Ifoko Primary school,Koboko,1,31,
Akalo P7 School,Koboko,1,83,
Onoro P7 School,Koboko,3,45,
Lima Primary School,Koboko,1,19,
Abele Primary School,Koboko,15,219,
Ombachi Self Help Pri Sch,Koboko,12,150,
Wigua P O School,Koboko,11,100,
Ayipe Primary School,Koboko,1,54,
Ogwangadar P7,Koboko,1,51,
Noor Islamic School,Koboko,1,47,
Eden Primary School,Koboko,19,50,
Aculbanya P 7 School,Koboko,1,40,
Apedi P7 School,Koboko,1,67,
Opeta P.7 School,Koboko,1,60,
Adyang Primary Schoo,Koboko,1,57,
Omuge P.7 Sch,Kole,6,54,
Alito Leper Primary School,Kole,1,81,
Ilera P/S,Kole,2,42,
Abedyangoto Primary School,Kole,4,58,
Abilonino Dem. P7 School,Kole,8,84,
Apii P7 School,Kole,4,53,
Atin Yesu P/S,Kole,2,23,
Otino-Waa P/S,Kole,12,45,
Teobia P/S,Kole,1,52,
Alang P.7 School,Kole,1,52,
Okole Primary School ,Kole,1,51,
Baramindyang P.7 School,Kole,1,50,
Abari Primary School,Kole,1,43,
Ayer P.7 school,Kole,15,58,
Atan P.7 School,Kole,1,60,
Mary Mother of God P/S,Kotido,2,66,
Kikoda P/S,Kotido,2,56,
Kotido Army P/S,Kotido,3,63,
Lomukura  P/S,Kotido,4,83,
Napumpum Ps,Kotido,3,45,
Lokitelaebu P/S,Kotido,2,22,
Panyangara P.7 Sch,Kotido,3,56,
Nakoreto P/S,Kotido,1,18,
Nakapeplimpru P7 Sch,Kotido,2,26,
Kotido Mixed P7 Sch,Kotido,5,57,
St.Daniel Comboni Ps,Kotido,12,45,
Kumi Ps,Kumi,2,69,
Oswapai Ps,Kumi,1,32,
Osopotiot Ps,Kumi,2,63,
Oleicho Ps,Kumi,3,72,
Kumi Girl's Psa Sch,Kumi,6,51,
Kabataps,Kumi,16,114,
Mukongoro Rock P/S,Kumi,3,58,
Atutur Ps,Kumi,7,70,
Kumi Township Sch,Kumi,9,88,
Buzooba Primary Schoo,Kumi,5,63,
Akadot Ps,Kumi,10,126,
Wiggins Ps,Kumi,7,79,
Firm Foundation Primary School,Kumi,5,18,
Kakures Ps,Kumi,1,50,
Go-Standard Primary School,Kumi,30,44,
Moyok Primary School,Kween,4,116,
Benet Primary School,Kween,1,185,
Teren Boys Primary School,Kween,1,105,
Kwanyiy Primary School,Kween,1,89,
Mengya Parents Primary School,Kween,4,53,
Nankandula P/S,Kyankwanzi,1,35,
Kiboga Parent School,Kyankwanzi,1,29,
Kyakabuga Primary School,Kyankwanzi,1,27,
Masodde Ps,Kyankwanzi,4,107,
Rwomujjubwe Ps,Kyankwanzi,1,25,
Kamuzi P/S,Kyankwanzi,1,25,
Kirimbi Ps,Kyankwanzi,5,124,
Kiryajjobyo P/S,Kyankwanzi,1,24,
Kiyombya Ps,Kyankwanzi,1,104,
Kiryannongo Primary School,Kyankwanzi,4,91,
Kisojo Primary School,Kyankwanzi,4,85,
Nsambya Primary School,Kyankwanzi,6,43,
Kampiri Islams Primary School,Kyankwanzi,1,20,
Karukwejju Primary School,Kyankwanzi,2,37,
Kigando St. Joseph's End Inst,Kyankwanzi,6,64,
Kyabajojo Primary School,Kyankwanzi,8,98,
Kitegwa Ps,Kyankwanzi,10,63,
Mulagi Primary School,Kyankwanzi,2,104,
Kiremeera Ps,Kyankwanzi,2,100,
St.Kizito P/S,Kyankwanzi,6,26,
Kyankwanzi Junior P/S,Kyankwanzi,22,47,
kabagaya P/S,Kyankwanzi,1,44,
Ntwetwe Parents Primary School,Kyankwanzi,7,30,
Mbogobbiri Primary School,Kyankwanzi,1,40,
Mbogobbiri Primary School,Kyankwanzi,1,40,
Nyabyerima P/S,kyegegwa,1,30,
Kyaka Parents P/S,kyegegwa,1,30,
Barahija Sch,Kyenjojo,1,35,
Bwahurro P/S,Kyenjojo,1,35,
Mabira Primary School,Kyenjojo,3,85,
Mparo P/S,Kyenjojo,3,82,
Marumbu P/S,Kyenjojo,2,53,
Nyantungo Primary School,Kyenjojo,3,71,
Rwibaale P/S,Kyenjojo,1,99,
Hamukuku P/S,Kyenjojo,3,25,
Nyarukoma P/S,Kyenjojo,9,66,
Rwaitengya P/S,Kyenjojo,7,50,
Kawaruju P/S,Kyenjojo,4,45,
Kigunda P/S,Kyenjojo,2,38,
Kyakatara P/S,Kyenjojo,2,38,
Katoosa P/S,Kyenjojo,7,102,
Ruhungiere Primary School,Kyenjojo,2,29,
Igongwe P/S,Kyenjojo,6,57,
Tanaga Primary School,Kyenjojo,4,26,
Biheehe Primary School,Kyenjojo,8,51,
Kagoma P/S,Kyenjojo,2,109,
Kagoma P/S,Kyenjojo,2,109,
Nyakisi P/S,Kyenjojo,1,54,
Kyembogo P/S,Kyenjojo,23,73,
Nyamabuga Primary School,Kyenjojo,12,35,
Kyarusozi P/S,Kyenjojo,17,90,
Kyarusozi P/S,Kyenjojo,17,90,
Katooke Modern Day and Brd P/S,Kyenjojo,22,59,
Light Star Primary School,Kyenjojo,12,27,
Kyenjojo P/S,Kyenjojo,34,150,
Gayobyo P/S,Kyenjojo,1,44,
Muziizi Parents Primary School,Kyenjojo,4,17,
Kigaraale Primary School,Kyenjojo,1,63,
Kisojo Primary School,Kyenjojo,1,60,
Kiregesa Primary School,Kyenjojo,1,59,
Katambale Primary School,Kyenjojo,1,38,
Kirongo Primary School,Kyenjojo,1,58,
Nsinde P/s,Kyenjojo,1,38,
Nsinde P/s,Kyenjojo,1,38,
Rugorra P/S,Kyenjojo,2,73,
Logopii Primary School,Lamwo,1,27,
Ngomlac Primary School,Lamwo,6,46,
Abutodai P/S ,Lira,1,35,
Okio P/S,Lira,1,33,
Anyomorem  P7 School,Lira,1,25,
Amuca P7,Lira,4,96,
Lira P.7 School,Lira,7,165,
Otim Tom Primary School,Lira,5,117,
Adwila P7 School,Lira,3,67,
Starch Factory Primary School,Lira,1,85,
Akia P7 School,Lira,1,84,
Coorom P/S,Lira,1,80,
Amokoga P/S,Lira,3,64,
Lira Parents Primary School,Lira,2,34,
Bullege Nursery &ps,Lira,2,34,
Burlobo Rockview,Lira,2,33,
Omito P/S,Lira,4,65,
Ngetta Girls P7 School,Lira,5,81,
Adekokwok Primary School,Lira,5,81,
Igony Primary School,Lira,6,97,
Lira Modern School,Lira,5,101,
Ongica Primary School,Lira,6,92,
Ogur P7 School,Lira,6,118,
Olaka Annex P.7 School,Lira,18,202,
Akangi P/S,Lira,4,77,
Agweng P7 School,Lira,4,76,
Anai P7 Sch,Lira,8,87,
Bar-Apwo P/S,Lira,11,119,
Canon Lawrence College School,Lira,3,55,
Abunga P/S,Lira,3,54,
St Mary's Primary School,Lira,5,51,
Rubona Primary School,Lira,1,7,
Ober P7,Lira,4,28,
Ojwina P.7 School,Lira,11,75,
Railway Primary School,Lira,3,28,
Ireda P7 School,Lira,10,115,
Lango Quran Primary School,Lira,10,115,
Ober Primary School,Lira,20,117,
Elia Olet P.7 School,Lira,2,111,
Alikpot Primary School,Lira,1,52,
Alpha Mixed Day & Bd.P/S,Lira,14,46,
Fountain Brd. Primary School,Lira,18,50,
Cura P7 School,Lira,1,48,
Adyel P.7,Lira,62,164,
Hillside Annex Primary School,Lira,18,46,
Amucasda,Lira,30,70,
Survival Primary School,Lira,7,33,
Opem P7,Lira,1,44,
Cornerston Primary School,Lira,8,37,
Lira Army Primary School,Lira,10,46,
Lira Intergrated Pri.School,Lira,23,47,
Truth Primary School,Lira,11,47,
Ngeta Boys P7 School,Lira,30,128,
Lira Police Primary School,Lira,45,85,
St.Anne Primary School,Lira,16,30,
Rima Primary School,Lira,10,18,
BokePrimary School,Lira,2,85,
Amac P7 Sch,Lira,2,84,
Okwaloamara Primary School,Lira,1,78,
VH Public School,Lira,107,157,
Akalocero Primary School,Lira,1,65,
Abala P.7,Lira,2,78,
Adyaka P7 Sch,Lira,1,63,
Olaka Child Care P/7,Lira,1,63,
Ayago P.7 School,Lira,1,39,
Mantle Day & Boarding P/S,Lira,68,92,
Ayile P7,Lira,1,61,
Lira Central Primary School,Lira,126,142,
St. Kizito P.7 School,Lira,125,131,
Ayamo P/S,Lira,1,36,
Kalyowa Primary School,Luuka,3,88,
Kyanvuma Primary school,Luuka,4,131,
Kiwalazi Primary School,Luuka,2,65,
Wandago Primary school,Luuka,2,61,
Nakwa Primary School,Luuka,1,181,
Bugabula Primary School,Luuka,1,142,
Kiyunga Primary School,Luuka,1,137,
Busiiro Primary School,Luuka,1,137,
Busala Primary School,Luuka,1,93,
Bukoova St.Mary's Pri.Sch,Luuka,5,112,
Budoma Primary School,Luuka,1,88,
Bundindo P/S,Luuka,5,106,
St.Thomas Mukutu Pri.Sch,Luuka,5,83,
Nakabaale Primary School,Luuka,2,30,
Maria Memorial Primary School,Luuka,4,43,
Namulanda Primary School,Luuka,3,44,
Kiyunga Parents School,Luuka,10,64,
Kituuto Primary School,Luuka,1,55,
Shalom Christian Boarding P/S,Luuka,11,45,
Bukanha Primary School,Luuka,1,73,
Nawmbe Primary School,Luuka,1,73,
Buwologoma P/Sch,Luuka,3,122,
Buwologoma P/Sch,Luuka,3,122,
Buwologoma P/Sch,Luuka,3,122,
Busiiro Muslim Primary School,Luuka,2,138,
